type,sec,sample
true,0.703125,90
true,1.6171875,207
true,2.453125,314
true,3.3203125,425
true,4.5390625,581
true,5.640625,722
true,6.6796875,855
true,7.6640625,981
true,8.578125,1098
true,9.4296875,1207
true,10.2421875,1311
true,11.0546875,1415
true,11.953125,1530
true,12.890625,1650
true,13.8671875,1775
true,14.8046875,1895
true,15.71875,2012
true,16.59375,2124
true,17.4921875,2239
true,18.4453125,2361
true,19.4453125,2489
true,20.390625,2610
true,21.3046875,2727
true,22.1640625,2837
true,23.015625,2946
true,23.921875,3062
true,24.9375,3192
true,25.9609375,3323
true,26.9375,3448
true,27.8671875,3567
true,28.765625,3682
true,29.6484375,3795
true,30.609375,3918
true,31.6015625,4045
true,32.578125,4170
true,33.53125,4292
true,34.453125,4410
true,35.328125,4522
true,36.1953125,4633
true,37.1171875,4751
true,38.0859375,4875
true,39.1015625,5005
true,40.1015625,5133
true,41.046875,5254
true,41.921875,5366
true,42.7734375,5475
true,43.65625,5588
true,44.6796875,5719
true,45.7578125,5857
true,46.8046875,5991
true,47.828125,6122
true,48.8125,6248
true,49.7265625,6365
true,50.6171875,6479
true,51.5625,6600
true,52.5390625,6725
true,53.53125,6852
true,54.546875,6982
true,55.5390625,7109
true,56.4453125,7225
true,57.328125,7338
true,58.2265625,7453
true,59.21875,7580
true,60.234375,7710
true,61.2578125,7841
true,62.234375,7966
true,63.1875,8088
true,64.109375,8206
true,65.03125,8324
true,66.0078125,8449
true,67.0390625,8581
true,68.078125,8714
true,69.078125,8842
true,70.0625,8968
true,71.0234375,9091
true,71.953125,9210
true,72.8671875,9327
true,73.8046875,9447
true,74.78125,9572
true,75.7578125,9697
true,76.703125,9818
true,77.609375,9934
true,78.5546875,10055
true,79.5234375,10179
true,80.5078125,10305
true,81.5078125,10433
true,82.484375,10558
true,83.4296875,10679
true,84.3203125,10793
true,85.21875,10908
true,86.1796875,11031
true,87.1953125,11161
true,88.2265625,11293
true,89.234375,11422
true,90.203125,11546
true,91.140625,11666
true,92.109375,11790
true,93.0625,11912
true,94.0390625,12037
true,94.9921875,12159
true,95.921875,12278
true,96.859375,12398
true,97.8359375,12523
true,98.8125,12648
true,99.7578125,12769
true,100.65625,12884
true,101.5546875,12999
true,102.5234375,13123
true,103.515625,13250
true,104.5234375,13379
true,105.484375,13502
true,106.390625,13618
true,107.3125,13736
true,108.28125,13860
true,109.3125,13992
true,110.328125,14122
true,111.3359375,14251
true,112.2890625,14373
true,113.203125,14490
true,114.078125,14602
true,115.0,14720
true,116.0,14848
true,117.0390625,14981
true,118.09375,15116
